"chromosome","position","id"
1,12827034,"rs3738103"
1,12831559,"rs10458473"
1,12852093,"rs9730532"
1,12887234,"rs4575093"
1,13111738,"rs35548467"
1,13508313,"rs2924861"
1,13583921,"rs355025"
1,13630235,"rs4661410"
1,13643593,"rs4342846"
1,13693909,"rs4077841"
1,13791380,"rs1980472"
1,13815492,"rs11588426"
1,13854969,"rs1203621"
1,13887852,"rs1528787"
1,13937204,"rs12074144"
1,13993965,"rs72640541"
1,14025304,"rs12141686"
1,14041047,"rs4662085"
1,14042474,"rs7545683"
1,14046724,"rs17351284"
1,14064574,"rs72641643"
1,14142405,"rs10803463"
1,14158887,"rs7533459"
1,14576330,"rs10754862"
1,14721789,"rs12118752"
1,14809031,"rs6671110"
1,14869266,"rs5772604"
1,14990469,"rs12026576"
1,15013130,"rs7548096"
1,15041094,"rs12141524"
1,15143976,"rs72640766"
1,15169123,"rs16851354"
1,15171335,"rs41307794"
1,15178023,"rs35885122"
1,15196341,"rs10927716"
1,15214237,"rs6429729"
1,15233440,"rs12042667"
1,15275111,"rs10927759"
1,15278166,"rs201457176"
1,15303706,"rs2104605"
1,15330709,"rs12401358"
1,15342736,"rs2479083"
1,15361548,"rs6695106"
1,15456885,"rs2303196"
1,15475788,"rs199788900"
1,15489083,"rs6429746"
1,15555317,"rs112135097"
1,15563693,"rs60524694"
1,15611612,"rs80042126"
1,15651004,"rs7529563"
1,15728543,"rs12724755"
1,15825517,"rs112818061"
1,15897344,"rs643919"
1,15994514,"rs4661679"
1,16032610,"rs10803408"
1,16042891,"rs3884148"
1,16052458,"rs56112410"
1,16068651,"rs10927902"
1,16272415,"rs12723303"
1,16388970,"rs12138174"
1,16437384,"rs111697755"
1,16867061,"rs9435675"
1,17133359,"rs910223"
1,17175224,"rs3003452"
1,17178350,"rs2977276"
1,17214552,"rs57174497"
1,17301348,"rs9435764"
1,17320543,"rs6686220"
1,17327810,"rs12741565"
1,17418039,"rs57142672"
1,17434838,"rs7418084"
1,17491681,"rs7538297"
1,17512754,"rs2985875"
1,17551350,"rs5772762"
1,17689945,"rs13376112"
1,17797668,"rs1578383"
1,17800625,"rs11583054"
1,17945187,"rs633099"
1,17962738,"rs794229"
1,18030893,"rs6666407"
1,18036189,"rs12135074"
1,18058094,"rs75616573"
1,18131877,"rs11577112"
1,18140827,"rs61766497"
1,18345496,"rs12753463"
1,18385833,"rs6684536"
1,18479223,"rs7521842"
1,18483421,"rs12061708"
1,18505959,"rs75536779"
1,18602455,"rs1538466"
1,18619553,"rs71849583"
1,18661238,"rs57676346"
1,18675564,"rs57823490"
1,18725312,"rs140321005"
1,18780981,"rs6667983"
1,18784860,"rs79433889"
1,18786341,"rs9439748"
1,18787029,"rs77338647"
1,18794676,"rs55686027"
1,18833162,"rs11261084"
1,18867386,"rs72651862"
1,18982728,"rs6660338"
1,19030901,"rs183174064"
1,19065348,"rs12061502"
1,19113612,"rs9661719"
1,19131239,"rs67443992"
1,19150154,"rs2296107"
1,19319178,"rs4912069"
1,19403059,"rs11428668"
1,19421001,"rs3829833"
1,19445868,"rs72653943"
1,19458399,"rs34375148"
1,19508011,"rs75552440"
1,19550606,"rs12125526"
1,19557200,"rs10917494"
1,19561313,"rs199643102"
1,19599713,"rs12057812"
1,19701459,"rs7544074"
1,19702204,"rs12744679"
1,19831747,"rs4509550"
1,19975470,"rs11677"
1,20011919,"rs1605319"
1,20091829,"rs10799609"
1,20144273,"rs6684376"
1,20258624,"rs6426625"
1,20262480,"rs200545602"
1,20375927,"rs12043220"
1,20449005,"rs112322975"
1,20577610,"rs12023637"
1,20587991,"rs12240109"
1,20603887,"rs10799647"
1,20609492,"rs72650813"
1,20638519,"rs10916842"
1,20651105,"rs8064"
1,20704552,"rs2296226"
1,20713594,"rs41307866"
1,20715806,"rs554111"
1,20952902,"rs6700459"
1,21076938,"rs75005260"
1,21114721,"rs200206700"
1,21120986,"rs7530739"
1,21179926,"rs182228306"
1,21232456,"rs12087166"
1,21255120,"rs3026884"
1,21339822,"rs3026813"
1,21355109,"rs2774015"
1,21359459,"rs12744114"
1,21376714,"rs115109715"
1,21382389,"rs147725820"
1,21417999,"rs112447476"
1,21530754,"rs10493007"
1,21570273,"rs1256328"
1,21632415,"rs16825746"
1,21633538,"rs6671920"
1,21651971,"rs181939530"
1,21653593,"rs2625407"
1,21961236,"rs10917077"
1,21977969,"rs12058649"
1,22005077,"rs4317779"
1,22010149,"rs60189068"
1,22181190,"rs2092315"
1,22238656,"rs72867086"
1,22244932,"rs16826833"
1,22283040,"rs2505721"
1,22434406,"rs11591062"
1,22595943,"rs71638848"
1,22611324,"rs10917268"
1,22613994,"rs158768"
1,22644414,"rs12073436"
1,22693412,"rs294204"
1,22884065,"rs67142165"
1,22885349,"rs12046210"
1,22929497,"rs11584870"
1,22945010,"rs2903995"
1,22946061,"rs309540"
1,23153868,"rs658508"
1,23181123,"rs72877294"
1,23189648,"rs667211"
1,23211837,"rs10917359"
1,23329791,"rs646317"
1,23439739,"rs1077514"
1,23451868,"rs2077066"
1,23484567,"rs12727881"
1,23514077,"rs2811972"
1,23663680,"rs6682946"
1,23749385,"rs2294495"
1,23892802,"rs6424129"
1,24048088,"rs12134722"
1,24049538,"rs59939382"
1,24051929,"rs10449778"
1,24053250,"rs7528340"
1,24064240,"rs7555384"
1,24066791,"rs10903077"
1,24138622,"rs10903022"
1,24141970,"rs4648936"
1,24192603,"rs4649202"
1,24279464,"rs201566638"
1,24366360,"rs146592112"
1,24395454,"rs6658381"
1,24461456,"rs195720"
1,24564669,"rs61669957"
1,24569030,"rs35646008"
1,24697728,"rs4370716"
1,24853829,"rs7526415"
1,24880578,"rs201081851"
1,24884323,"rs4649034"
1,24887311,"rs7551358"
1,24894049,"rs9438856"
1,24911494,"rs1984520"
1,24951490,"rs11249206"
1,24962783,"rs66880507"
1,25016927,"rs12070150"
1,25026969,"rs16830309"
1,25048316,"rs68100287"
1,25068781,"rs11801729"
1,25075143,"rs11293360"
1,25081941,"rs178135"
1,25126179,"rs2753319"
1,25133981,"rs2753321"
1,25148926,"rs4649067"
1,25202546,"rs2375278"
1,25366395,"rs200495584"
1,25409877,"rs111941366"
1,25431642,"rs11249249"
1,25751078,"rs10454463"
1,25793825,"rs10902675"
1,25853952,"rs112573235"
1,25857543,"rs112822789"
1,25980823,"rs4507998"
1,25987919,"rs6598937"
1,26083309,"rs55912918"
1,26157709,"rs4992499"
1,26190775,"rs41284333"
1,26282290,"rs34209692"
1,26282601,"rs72872912"
1,26317216,"rs12088858"
1,26354203,"rs10794528"
1,26417186,"rs11581294"
1,26539430,"rs1002488"
1,26558184,"rs3790644"
1,26846957,"rs6686271"
1,26869180,"rs12742388"
1,26973408,"rs945760"
1,27057823,"rs10430146"
1,27177974,"rs6677827"
1,27481294,"rs6598884"
1,27983210,"rs11247731"
1,28240589,"rs529726"
1,28252762,"rs1283620"
1,28326213,"rs9663017"
1,28386583,"rs4908417"
1,28409195,"rs10902704"
1,28418320,"rs199592503"
1,28421625,"rs61783826"
1,28440393,"rs201195551"
1,28462650,"rs79149804"
1,28541407,"rs9426404"
1,28676684,"rs12751872"
1,28684288,"rs10157207"
1,28748779,"rs602345"
1,28756589,"rs61787572"
1,28833949,"rs204054"
1,28875145,"rs77741163"
1,28906970,"rs203302"
1,28939632,"rs143601327"
1,29116270,"rs531668"
1,29138147,"rs199964615"
1,29145239,"rs34814292"
1,29207088,"rs2452785"
1,29425325,"rs11586152"
1,29437913,"rs11588554"
1,29845069,"rs12120617"
1,29881915,"rs67850826"
1,30029937,"rs267716"
1,30059134,"rs1966007"
1,30079284,"rs10753310"
1,30085368,"rs1149067"
1,30105770,"rs10799077"
1,30127880,"rs12122347"
1,30170916,"rs58490458"
1,30240628,"rs1028313"
1,30260751,"rs12403372"
1,30349990,"rs421652"
1,30371272,"rs642819"
1,30384035,"rs147235658"
1,30384602,"rs873268"
1,30386330,"rs10753325"
1,30408829,"rs12734883"
1,30412589,"rs17364328"
1,30446778,"rs6682516"
1,30517852,"rs11801447"
1,30549208,"rs904259"
1,30574514,"rs1498010"
1,30597492,"rs6665772"
1,30602747,"rs12745168"
1,30606570,"rs34407537"
1,30608063,"rs646671"
1,30612617,"rs494996"
1,30705791,"rs12726414"
1,30708630,"rs4949287"
1,30713539,"rs1746059"
1,30758538,"rs3762296"
1,30854806,"rs12566029"
1,30894532,"rs145479086"
1,30998471,"rs5773332"
1,31093269,"rs4949344"
1,31226154,"rs10914332"
1,31407306,"rs12691486"
1,31428611,"rs2297885"
1,31468510,"rs12139335"
1,31542394,"rs1807816"
1,31717218,"rs6425781"
1,31870110,"rs669405"
1,31921890,"rs626502"
1,31986452,"rs2510857"
1,32096451,"rs59362821"
1,32453724,"rs4578182"
1,32577990,"rs112462518"
1,32732170,"rs699007"
1,32794168,"rs61057925"
1,32978533,"rs16835227"
1,33046053,"rs12733598"
1,33087445,"rs199837381"
1,33113175,"rs545306"
1,33179914,"rs200202433"
1,33393797,"rs2336120"
1,33403375,"rs12728732"
1,33427362,"rs1324481"
1,33477729,"rs2336243"
1,33497140,"rs3928341"
1,33507949,"rs1967124"
1,33552972,"rs2781791"
1,33582680,"rs389724"
1,33606167,"rs16835665"
1,33714132,"rs12405664"
1,33781008,"rs4652973"
1,33807385,"rs6425841"
1,33811278,"rs10798993"
1,33852603,"rs79045568"
1,33880424,"rs12027527"
1,33945063,"rs528690"
1,34010129,"rs517542"
1,34059503,"rs6700561"
1,34136919,"rs9425999"
1,34171456,"rs74536993"
1,34311299,"rs4653023"
1,34352002,"rs72652034"
1,34354209,"rs12095156"
1,34409109,"rs7534512"
1,34456461,"rs6670745"
1,34474365,"rs798069"
1,34564030,"rs6425900"
1,34588697,"rs12127959"
1,34632198,"rs6669921"
1,34641667,"rs985144"
1,34650841,"rs61776029"
1,34673943,"rs10915014"
1,34745949,"rs4653086"
1,34783217,"rs55889633"
1,34814029,"rs28533251"
1,34838382,"rs12745194"
1,34886472,"rs61776349"
1,35139443,"rs76531625"
1,35695974,"rs10752603"
1,35938383,"rs58125278"
1,36254973,"rs55694857"
1,36321692,"rs10796881"
1,36376442,"rs11577907"
1,36598319,"rs4653207"
1,36611995,"rs61769910"
1,36665880,"rs218996"
1,36682684,"rs12729494"
1,36698054,"rs488359"
1,36737165,"rs570399"
1,36740269,"rs534194"
1,36815510,"rs72911568"
1,37048304,"rs10489413"
1,37072039,"rs6675225"
1,37116001,"rs10908320"
1,37179929,"rs11263999"
1,37206874,"rs12750141"
1,37209165,"rs215841"
1,37246820,"rs61779485"
1,37323809,"rs7522706"
1,37419235,"rs7525270"
1,37502172,"rs215864"
1,37617494,"rs10908364"
1,37635247,"rs11585920"
1,37728557,"rs55981639"
1,37740354,"rs11264096"
1,37801053,"rs111789666"
1,38194201,"rs7546178"
1,38197486,"rs34085231"
1,38341952,"rs17477941"
1,38377641,"rs4970586"
1,38427503,"rs12095546"
1,38439453,"rs11588364"
1,38466732,"rs12564999"
1,38601244,"rs1411194"
1,38653410,"rs10082063"
1,38656829,"rs11211084"
1,38693088,"rs201873996"
1,38719858,"rs201409515"
1,38754135,"rs56138937"
1,38837771,"rs2307925"
1,38877101,"rs9438971"
1,38904812,"rs6697008"
1,39008277,"rs147804795"
1,39019081,"rs11589220"
1,39203009,"rs72637904"
1,39380917,"rs72661965"
1,39445011,"rs617577"
1,39467321,"rs3954096"
1,39490237,"rs11351773"
1,39536140,"rs12410202"
1,39597540,"rs2695327"
1,39611169,"rs28876728"
1,39672834,"rs784599"
1,39685890,"rs201303176"
1,39686137,"rs6690939"
1,39690882,"rs3754351"
1,39777383,"rs77780275"
1,39850482,"rs41268045"
1,39854639,"rs61779835"
1,39869313,"rs61779849"
1,40091983,"rs6672053"
1,40094785,"rs6671113"
1,40098689,"rs6669268"
1,40328422,"rs425821"
1,40333563,"rs1826952"
1,40618345,"rs527232"
1,40666502,"rs518437"
1,40742755,"rs7527402"
1,40883670,"rs112247126"
1,40902542,"rs7528422"
1,40925641,"rs12569011"
1,40971744,"rs10789262"
1,41001009,"rs140062309"
1,41019404,"rs11209363"
1,41026128,"rs12031277"
1,41033867,"rs74545213"
1,41074963,"rs12023623"
1,41093323,"rs12736881"
1,41139846,"rs72665604"
1,41194435,"rs11577984"
1,41213883,"rs200250970"
1,41236513,"rs10493093"
1,41250366,"rs3845571"
1,41260986,"rs201951643"
1,41351829,"rs4660190"
1,41414049,"rs35440894"
1,41418273,"rs2810548"
1,41429825,"rs2810569"
1,41476054,"rs2492076"
1,41486661,"rs12760844"
1,41623717,"rs10890146"
1,41641263,"rs11210508"
1,41736175,"rs12139676"
1,41758193,"rs61773729"
1,41940846,"rs12401779"
1,41951510,"rs10890172"
1,42047879,"rs12043572"
1,42050023,"rs10437061"
1,42095825,"rs61773894"
1,42107608,"rs12728745"
1,42123352,"rs6694772"
1,42274898,"rs7527222"
1,42390374,"rs60542248"
1,42409072,"rs113187436"
1,42411179,"rs11577362"
1,42433926,"rs35764547"
1,42444827,"rs7525350"
1,42510561,"rs4603169"
1,42524704,"rs6691571"
1,42610037,"rs12564805"
1,42633055,"rs10890206"
1,42786519,"rs2760077"
1,42880398,"rs4660679"
1,42884165,"rs113965698"
1,42974804,"rs841576"
1,43118434,"rs138995578"
1,43201943,"rs4660246"
1,43258450,"rs12043648"
1,43639332,"rs486883"
1,43685961,"rs61768374"
1,43727784,"rs7528907"
1,43746025,"rs2158956"
1,43786874,"rs3791050"
1,43836639,"rs72886898"
1,43846436,"rs3011221"
1,43856547,"rs2906466"
1,43945916,"rs4448553"
1,44031576,"rs12037805"
1,44060770,"rs28798527"
1,44131840,"rs2906695"
1,44357035,"rs226070"
1,44375599,"rs75042871"
1,44427071,"rs12086851"
1,44441599,"rs946958"
1,44518891,"rs202036505"
1,44531641,"rs6672462"
1,44611256,"rs11582764"
1,44661416,"rs199963731"
1,44703137,"rs10890312"
1,44731045,"rs7524446"
1,44874609,"rs9988451"
1,44974344,"rs263994"
1,44975454,"rs263992"
1,45099506,"rs149854758"
1,45248352,"rs140283786"
1,45298585,"rs6429562"
1,45425785,"rs10890327"
1,45454132,"rs12562468"
1,45548375,"rs523526"
1,45645168,"rs4660313"
1,45667177,"rs11211158"
1,45785252,"rs4607936"
1,45906892,"rs35617897"
1,45922184,"rs11580953"
1,45986442,"rs12143773"
1,46103163,"rs785520"
1,46191882,"rs7519275"
1,46343179,"rs41293287"
1,46344997,"rs17361763"
1,46349088,"rs56121132"
1,46396608,"rs11288511"
1,46426252,"rs55852959"
1,46495856,"rs35827425"
1,46704976,"rs12029031"
1,46795856,"rs1097608"
1,46839301,"rs1890249"
1,46922240,"rs11211400"
1,47020080,"rs1502910"
1,47142524,"rs2056898"
1,47144392,"rs149718343"
1,47179229,"rs2494248"
1,47335376,"rs4926824"
1,47350321,"rs67295054"
1,47369929,"rs61284456"
1,47435915,"rs6691723"
1,47456591,"rs10890481"
1,47489840,"rs56034078"
1,47505195,"rs6687662"
1,47552686,"rs12121534"
1,47587753,"rs11576372"
1,47590956,"rs2507002"
1,47626075,"rs11211576"
1,47707164,"rs4926969"
1,47727005,"rs4927000"
1,47796946,"rs4927069"
1,47848163,"rs1538779"
1,47873054,"rs58961951"
1,47896205,"rs10890512"
1,48007606,"rs7544884"
1,48151225,"rs143245899"
1,48181879,"rs141440743"
1,48246066,"rs12119362"
1,48255485,"rs212964"
1,48283306,"rs113859272"
1,48311754,"rs141486752"
1,48331659,"rs1114192"
1,48392127,"rs2248912"
1,48546218,"rs67966936"
1,48589134,"rs1994211"
1,48670634,"rs16873"
1,48783639,"rs17104860"
1,48851985,"rs7530277"
1,48922125,"rs72895626"
1,48964261,"rs1419142"
1,48991120,"rs3118217"
1,49007901,"rs187817378"
1,49017030,"rs6669433"
1,49068037,"rs76432459"
1,49521910,"rs34639175"
1,49584201,"rs34469945"
1,49890385,"rs6588367"
1,50297358,"rs3012090"
1,50328514,"rs1948809"
1,50425420,"rs7550594"
1,50833924,"rs2095864"
1,51031605,"rs58807574"
1,51059329,"rs7523782"
1,51083283,"rs61782414"
1,51591783,"rs147163469"
1,51822148,"rs2495226"
1,51879817,"rs36080456"
1,51905703,"rs2809938"
1,51972738,"rs12127222"
1,52182061,"rs605958"
1,52287633,"rs79136995"
1,52297909,"rs2762831"
1,52637951,"rs11585316"
1,52707820,"rs433116"
1,52730127,"rs928451"
1,52788783,"rs503015"
1,52845651,"rs581118"
1,53010576,"rs147285662"
1,53086646,"rs1288398"
1,53132487,"rs72670883"
1,53155160,"rs6689888"
1,53176776,"rs3102047"
1,53210775,"rs1799821"
1,53433345,"rs1766641"
1,53442951,"rs147554235"
1,53536309,"rs545514"
1,53637269,"rs17382914"
1,53642538,"rs11206185"
1,53729344,"rs702490"
1,53818162,"rs111578074"
1,53884618,"rs7515771"
1,53993888,"rs201466679"
1,54003435,"rs635045"
1,54076999,"rs3086146"
1,54096242,"rs7555099"
1,54300053,"rs10888844"
1,54302006,"rs4927087"
1,54437379,"rs12042376"
1,54511404,"rs299892"
1,54527265,"rs12752888"
1,54624617,"rs12408233"
1,54726766,"rs12078343"
1,54739525,"rs7542637"
1,54761541,"rs61768812"
1,54763849,"rs1180946"
1,54791382,"rs75192634"
1,54970925,"rs12409233"
1,54980990,"rs2253467"
1,55014293,"rs17111474"
1,55038912,"rs41294819"
1,55073229,"rs1752394"
1,55172401,"rs1165222"
1,55187309,"rs6676563"
1,55264463,"rs6670546"
1,55278977,"rs10788999"
1,55357824,"rs11802100"
1,55409697,"rs59673648"
1,55435037,"rs200224051"
1,55474086,"rs1499679"
1,55488583,"rs1695935"
1,55565403,"rs6668297"
1,55602670,"rs79301997"
1,55662229,"rs199900685"
1,55671059,"rs67405784"
1,55674498,"rs17112625"
1,55702834,"rs200715408"
1,55769845,"rs6689537"
1,55793196,"rs66483996"
1,55909523,"rs10888946"
1,55939874,"rs4342888"
1,56008543,"rs6588602"
1,56059979,"rs9436997"
1,56117305,"rs6681705"
1,56216398,"rs139099080"
1,56250419,"rs12564025"
1,56266270,"rs12082680"
1,56316075,"rs113364852"
1,56352997,"rs12064446"
1,56394413,"rs12408513"
1,56408838,"rs3005924"
1,56431295,"rs72662262"
1,56514008,"rs61772592"
1,56603458,"rs10789032"
1,56628351,"rs10888995"
1,56781934,"rs1738400"
1,56801414,"rs7513447"
1,56888781,"rs629799"
1,56999908,"rs3768211"
1,57036115,"rs10714782"
1,57057783,"rs11409415"
1,57058923,"rs12043848"
1,57156781,"rs12034636"
1,57191081,"rs197107"
1,57368016,"rs2113453"
1,57375933,"rs116786837"
1,57448508,"rs12044874"
1,57476464,"rs10889047"
1,57527384,"rs1404390"
1,57661166,"rs4523535"
1,57668431,"rs4076378"
1,57683900,"rs3131757"
1,57695709,"rs3126016"
1,57774154,"rs3131746"
1,57793790,"rs1570595"
1,57900321,"rs1202838"
1,57958433,"rs4912175"
1,58036002,"rs6698616"
1,58045034,"rs4475778"
1,58241438,"rs494214"
1,58245554,"rs676022"
1,58260043,"rs639241"
1,58321800,"rs138767148"
1,58340654,"rs17442536"
1,58381263,"rs338945"
1,58390694,"rs733986"
1,58397380,"rs1228858"
1,58491193,"rs61781784"
1,58543890,"rs12563531"
1,58547963,"rs2406783"
1,58552131,"rs11809967"
1,58592421,"rs72674184"
1,58596930,"rs35384056"
1,58653286,"rs232872"
1,58709544,"rs5774424"
1,58729324,"rs201030007"
1,58772739,"rs2760495"
1,58930155,"rs17118430"
1,59006313,"rs2716139"
1,59017756,"rs932771"
1,59109933,"rs11590534"
1,59156238,"rs12063372"
1,59180383,"rs17535443"
1,59191172,"rs331653"
1,59267779,"rs3012156"
1,59293196,"rs835366"
1,59384468,"rs67337377"
1,59404610,"rs625167"
1,59414864,"rs12063806"
1,59599337,"rs147849673"
1,59643138,"rs6679253"
1,59705979,"rs74901348"
1,60054688,"rs12742425"
1,60105344,"rs61801264"
1,60144883,"rs12733534"
1,60153533,"rs677040"
1,60336408,"rs2992355"
1,60352246,"rs17120557"
1,60382364,"rs6659093"
1,60473861,"rs6672753"
1,60783531,"rs1399163"
1,60788959,"rs5027936"
1,60895571,"rs60967028"
1,60922241,"rs59415785"
1,61102266,"rs964091"
1,61264048,"rs17377428"
1,61300706,"rs142987787"
1,61340679,"rs12034786"
1,61354399,"rs17121983"
1,61364661,"rs4406666"
1,61451114,"rs12561869"
1,61653734,"rs78423928"
1,61676424,"rs12117475"
1,61791550,"rs3790577"
1,61820970,"rs79399949"
1,61851671,"rs61770159"
1,61895460,"rs2482859"
1,61904065,"rs12747615"
1,61977573,"rs2498973"
1,61999840,"rs12732712"
1,62009589,"rs35848861"
1,62039891,"rs77014104"
1,62144127,"rs10789103"
1,62164689,"rs10889294"
1,62265834,"rs3861936"
1,62271699,"rs4609464"
1,62312972,"rs201726830"
1,62360328,"rs28788538"
1,62379246,"rs10889324"
1,62403865,"rs2065702"
1,62440817,"rs638714"
1,62464220,"rs1177541"
1,62694610,"rs10889357"
1,62702312,"rs7526446"
1,62784594,"rs12067646"
1,62804246,"rs55835075"
1,62827806,"rs34117354"
1,62835980,"rs10889384"
1,62899979,"rs10889389"
1,62920772,"rs12122318"
1,62937348,"rs17124071"
1,62994980,"rs10465807"
1,63004045,"rs2026784"
1,63012229,"rs944186"
1,63014281,"rs11366503"
1,63018531,"rs7520514"
